Dataset,Image,Full,SSIM,Random1 - SSIM,Random2 - SSIM,Random3 - SSIM,Random4 - SSIM,Random5 - SSIM,Euclidean,Random1 - Euclidean,Random2 - Euclidean,Random3 - Euclidean,Random4 - Euclidean,Random5 - Euclidean,,,,,,,,,,,,
,h02,94.74,94.9643,94.6737,95.2086,95.3846,95.1664,95.1492,95.5642,95.2426,95.2761,95.7744,95.4438,95.0882,,,,,,,,,,,,
,h03,95.4807,93.3879,95.3433,93.6588,94.0287,94.0609,94.3305,95.852,95.6638,94.0212,95.5335,96.0936,95.5289,,,,,,,,,,,,
,h04,94.1307,91.6161,93.1518,91.6541,91.9028,93.3219,92.8946,94.784,94.3664,93.2989,95.0355,94.7338,94.7299,,,,,,,,,,,,
,h05,90.2211,87.6023,91.1952,86.2557,86.9556,88.3584,86.7593,90.5982,91.6582,89.5792,90.1222,91.4063,91.3125,,,,,,,,,,,,
,h06,96.5175,96.0918,96.3958,96.4727,96.2968,95.6804,95.7064,96.947,96.6389,96.6002,96.9115,95.519,96.584,,,,,,,,,,,,
,h07,95.1883,93.7484,94.7085,94.3906,94.7396,94.2645,93.954,94.9328,95.5698,94.7273,95.1425,94.4102,94.9496,,,,,,,,,,,,
,h08,96.2054,96.1776,96.1174,95.7218,96.0086,95.7353,95.8997,96.2708,96.3895,95.9483,96.1218,96.5072,96.6991,,,,,,,,,,,,
,h09,92.3745,92.5398,92.2534,92.9837,92.574,92.7045,93.3845,93.2017,93.3198,92.793,93.7186,92.774,93.2181,,,,,,,,,,,,
,h10,96.3705,96.6936,97.1139,96.5223,96.7765,96.8237,96.8637,96.5878,96.7168,96.6883,96.9811,96.9877,96.802,,,,,,,,,,,,
,p01,97.2415,96.2171,97.6946,96.241,96.9102,96.2482,96.2912,97.827,96.5385,97.7346,97.7362,96.902,97.7633,,,,,,,,,,,,
,p02,88.0247,83.8792,87.25,86.0219,82.1043,85.1948,84.3309,85.8119,86.7579,88.1263,87.3109,86.1641,86.5491,,,,,,,,,,,,
,p03,71.3749,65.0233,69.8971,68.4214,65.1173,67.005,66.6909,66.5335,68.2629,69.1257,66.1917,66.5961,67.4216,,,,,,,,,,,,
,p04,90.8743,88.3234,88.9441,89.2044,84.4358,88.1925,85.7716,87.7004,88.7324,91.1523,89.0469,88.786,89.8496,,,,,,,,,,,,
,p05,95.7782,93.759,95.2719,93.9486,93.8403,93.3068,93.9195,94.7249,95.313,96.4162,95.0848,93.5586,95.2448,,,,,,,,,,,,
,p06,97.1433,97.0509,97.9758,96.8985,96.7773,97.2335,96.8063,97.3277,97.2809,97.4605,97.4011,96.9804,97.1609,,,,,,,,,,,,
,p07,74.4398,88.0269,33.65,60.4517,76.5409,22.0337,51.3033,59.1122,79.1211,28.3507,57.8855,49.2601,56.4461,,,,,,,,,,,,
,p08,91.0562,89.0794,89.4189,89.3719,85.8693,88.9139,85.6848,87.1083,89.7819,92.3282,89.7178,90.1746,90.0046,,,,,,,,,,,,
,p09,94.1486,93.5669,94.1151,93.3774,91.7759,93.9076,89.2325,92.9908,94.296,93.177,93.2968,90.7058,91.7148,,,,,,,,,,,,
,p10,96.7299,94.292,95.992,92.4843,92.593,95.0378,94.0522,93.5465,95.7675,95.2654,94.6943,96.1653,94.8049,,,,,,,,,,,,
DIBCO 18,h01,88.4698,63.2425,81.4118,65.9164,62.8433,84.4623,79.0451,73,78.3823,74.7276,89.6527,79.3551,86.744,,,,,,,,,,,,
,h02,92.5485,67.9276,67.0267,74.2131,67.2056,91.4872,81.0948,65.7685,81.684,75.0444,90.0743,84.4265,75.176,,,,,,,,,,,,
,h03,91.0126,90.9363,91.8146,91.1584,91.5617,91.2155,91.6113,91.1915,91.4322,91.478,91.2328,91.5811,92.0346,,,,,,,,,,,,
,h04,89.244,62.014,78.8839,69.2747,80.3277,87.0894,88.4005,70.167,72.3197,78.4836,91.7562,86.3752,90.5722,,,,,,,,,,,,
,h05,70.2202,65.0083,72.4891,74.9223,81.1067,81.3046,83.7228,71.5978,82.9464,79.9302,79.4827,86.8352,78.4056,,,,,,,,,,,,
,h06,96.7064,92.1327,96.8531,94.9451,96.0876,97.4357,96.3527,97.8682,97.7082,97.5345,97.8172,97.416,97.5849,,,,,,,,,,,,
,h07,89.5164,86.6671,93.3427,89.8112,93.3654,94.143,94.1791,89.8429,94.104,94.167,94.4358,94.2082,93.9486,,,,,,,,,,,,
,h08,88.5995,89.1422,89.9354,89.4745,90.7426,90.9462,91.2255,91.3053,91.1113,91.3546,92.0733,90.6711,91.5558,,,,,,,,,,,,
,h09,90.2803,79.87,90.963,84.126,89.1284,91.5595,90.7967,85.2962,88.2294,89.2964,91.4791,91.3726,91.9205,,,,,,,,,,,,
,h10,26.485,32.9306,86.2265,81.8669,83.1572,83.1626,85.649,59.1696,87.8809,87.4412,85.0914,88.9898,86.1177,,,,,,,,,,,,
